trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,9,22.027116837032725,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.32303325642225289}",25,10,-38.97212255600773,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,7,2.965855858749638,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31663676937905316}",25,5,27.82151677167709,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.31348618088260533}",20,11,16.36039830239655,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,13,-11.920615860055715,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,-12,-10.157880688061363,"{0: 28, 1: 2, 2: 1, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.30422126406670408}",20,9,9.187192180630793,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,-16,-61.560857843224845,"{0: 31, 1: 0, 2: 2, 3: 1, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.29819727942988739}",20,12,16.293352391518642,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.29523016692401421}",35,19,-4.088843886514921,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.29229257768085942}",25,13,23.70122935193499,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.28938421793905061}",20,5,-26.204114242138555,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.28650479686019009}",20,9,18.816465937693604,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,5,15.287549092804731,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.28083162177837978}",20,13,-7.247666720040865,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",30,12,11.488655855108894,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",20,3,-13.624717653590398,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.27253179303401259}",20,0,0.9523319629934563,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.26982005638468681}",20,10,14.352028437750175,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,3,31.314015720714544,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,-5,6.742666095437679,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.26184566858032599}",20,3,5.333882015913137,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.25924026064589151}",30,-15,-15.741315101226617,"{0: 38, 1: 2, 2: 3, 3: 2, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.25666077695355588}",20,7,6.439942975220152,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,4,-11.731996557966172,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.25157855305975646}",30,24,10.065843470718379,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24907530463166816}",25,8,-29.59331212981563,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160643}",25,9,20.631321767039367,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24414328315343711}",20,2,33.2575165797181,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703645}",25,14,-3.832381463674345,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",25,12,12.570016127138322,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23692775868212176}",35,20,15.681159970483527,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23457028809379765}",30,-11,28.157260242301724,"{0: 38, 1: 0, 2: 2, 3: 1, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.23223627472975883}",20,8,-13.891309742739532,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672384}",30,7,1.2974366979457197,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,8,-5.955941639937823,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22537265553943872}",25,8,36.88009728646501,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
